mobile_name,price
realme Narzo 50i Prime Dual SIM Mint Green 4GB RAM 64GB 4G LTE ,"4,499"
IKU IKU S5 Dual SIM Mobile Phone  – Black ,570
ACE Mobile URBAN 3 Plus Blue 32GB 2GB 4G ,"2,830"
Honor X7b Dual SIM Flowing Silver 6GB RAM 256GB 4G ,"7,950"
ITEL A60S Dual SIM Glacier Green 4GB RAM 128GB 4G - Middle East Version ,"4,100"
Honor X9b Dual SIM Sunrise Orange 12GB RAM 256GB 5G With Honor Choice Earbuds X5 ,"16,600"
"IKU X5 Dual Sim 6.9 inch, 4GB/64GB, 5500mAh, 4G - Forest Green ","3,644"
realme Note 50 Dual SIM Sky Blue 3GB RAM 64GB 4G - Middle East Version ,"4,390"
Samsung Galaxy Z Fold 6 Single SIM + eSIM Pink 12GB RAM 512GB 5G - Middle East Version ,"77,777"
"IKU X9 Dual SIM Mobile, 128GB Internal Memory, 8+5GB RAM, 4G LTE - Midnight Gray ","5,249"
"IKU X9 Dual SIM Mobile, 128GB Internal Memory, 8+5GB RAM, 4G LTE - Starlight Blue ","5,249"
"IKU IKU A12 Dual SIM, 64GB Memory, 4GB RAM - White ","3,550"
Samsung Galaxy Z Fold 6 Dual SIM Pink 12GB RAM 256 GB 5G With Galaxy Buds 3 ,"76,666"
"KXD M21 Dual Sim, 1.77 inches,2500mAh Battery, 2G - Red ",444
ACE Mobile FE4 Black 32 MB 2G Network ,999
IKU A23 Dual Sim 2GB RAM 32GB internal memory 6.1 inches - Maroon ,"2,399"
Generic 6in1 Multifunctional Mobile Phone Storage Box ,184.80
Samsung Galaxy A15 Dual SIM Yellow 4GB RAM 128GB 4G - Egypt Version ,"6,555"
Earldom Dashboard Adjustable 360 Degree Rotation Car Stand Holder For Mobiles ,165
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devices ,71.25
unitronics UNI X1 Dual SIM Mobile Phone 1.77 Inch ,426
Samsung Galaxy Z Fold 6 Dual SIM Silver shadow 12GB RAM 256GB 5G - International Version ,"65,499"
"Samsung Galaxy A15 Dual SIM, 6GB RAM, 128GB, 4G LTE - Light Blue With Free Gift Samsung 25W USB-C Super Fast Charging Travel Adapter - Black ","7,555"
Samsung Galaxy Z Fold 5 Dual SIM Phantom Black 12GB RAM 512GB 5G - International Version ,"59,550"
Honor 90 Lite Dual Sim Midnight Black 8GB RAM 256GB 5G - Middle East Version ,"10,499"
Samsung Galaxy A15 Dual Sim Light Blue 8GB RAM 256GB 4G - Middle East Version with Free Gift Samsung 25W Adapter USB-C Super Fast Charging Travel Adapter (EU Plug) Black ( Color of the Gift Charger May Vary ) ,"8,899"
IKU A23 Dual Sim 2GB RAM 32GB internal memory 6.1 inches-SLATE GREY ,"2,399"
Generic 6in1 Multifunctional Mobile Phone Storage Box ,184.80
"GIRASOLE Girasole G30 - 2.4-inch Dual SIM Mobile Phone - Red, Earphone Free , 12 Months Warranty ",499
Samsung Galaxy A25 Dual SIM Yellow 6GB RAM 128GB 5G - Middle East Version ,"9,499"
Samsung Galaxy Z Fold 6 Dual SIM Silver shadow 12GB RAM 512GB 5G - International Version ,"71,399"
Honor X9b Dual SIM 5G Midnight Black 12GB RAM 256GB - International Version ,"13,590"
NOKIA G21 Dual SIM Dusk 4GB RAM 128GB 4G ,"5,699"
"KXD M21 Dual Sim, 1.77 inches, 2500mAh Battery, 2G - Black ",450
"IKU IKU A12 Dual SIM, 64GB Memory, 4GB RAM, Velvet Green ","3,299"
IKU A23 Dual Sim 2GB RAM 32GB internal memory 6.1 inches - Forest green ,"2,580"
Samsung Galaxy A15 Dual SIM Light Blue 6GB RAM 128GB 4G LTE - Egypt Version ,"7,339"
unitronics UNI X1 Dual SIM Dark Grey 4 Mb 32 Gigabyte Mobile Phone ,430
ITEL A70 Dual SIM Brilliant Gold 4+8GB RAM 256GB 4G ,"4,400"
"Samsung Galaxy A35 Dual SIM Awesome Navy 8GB RAM 128GB 5G - Middle East Version with a free gift T800 Ultra Smart Watch, 1.9 Inch - Orange ","14,350"
NOKIA Nokia 6310 black 4G ,999
"KXD KXD M23 mobile phone 32MB 32RAM-black , WITH BIG BATTARY 2500 ,   WORK UP 10 days ",699
Samsung Galaxy A15 Dual Sim Light Blue 8GB RAM 256GB 4G -International Version ,"8,745"
ITEL A70 Dual SIM Field Green 4+8GB RAM 256GB 4G ,"4,400"
Honor X9b Dual SIM Emerald Green 12GB RAM 256GB 5G With Honor Choice Earbuds X5 ,"16,600"
ITEL P55 Dual SIM Gold 8 GB RAM 128GB 4G ,"5,195"
Samsung Galaxy A15 Dual SIM Yellow 6GB RAM 128GB 4G LTE - Egypt Version ,"7,315"
Samsung Galaxy A15 Dual SIM Light Blue 8GB RAM 256GB 4G - Egypt Version ,"8,904"
IKU IKU S5 Dual SIM Mobile Phone  – Green ,566
unitronics UNI X1 - 1.77-inch - Dual SIM Mobile Phone ,430
"KXD M21 Dual Sim, 1.77 inches, 1800mAh Battery, 2G - Dark Blue ",450
Samsung Galaxy A15 Dual Sim Blue Black 8GB RAM 256GB 4G -International Version ,"8,904"
Honor X9b Dual SIM Midnight Black 12GB RAM 256GB 5G With Honor Choice Earbuds X5 ,"16,600"
"KXD M23 Dual Sim, 1.77 inches, 2500mAh battery, 2G - Dark Blue ",449
unitronics UNI X1 Dual SIM Mobile Phone 1.77 Inch grey ,425
"Ugreen Phone Stand Aluminum Mobile Stand Adjustable Mobile Holder Foldable Phone holder, Desktop iPhone Stand Compatible With All Mobile Phone, iPhone 16/15 Series, Samsung Galaxy S24 S23, iPad Grey ",599
Generic BM10  - Compact: Modern technology in a compact design ,485
"IKU S3 mini Dual SIM Mobile Phone, 1.8 inch 32MB/32MB – Grey ",410
OPPO Reno 6 Black Dual Sim 8GB RAM 128GB 4G LTE ,"13,499"
ITEL A60S Dual SIM Moonlit Violet 4GB RAM 128GB 4G - Middle East Version ,"4,100"
"IKU IKU S3 Dual SIM, 1.8 Inches Display, 1000mAh Battery – Blue ",640
"Generic Metal Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 ",125
NOKIA Mobile 105 Dual Sim Charcoal ,888
Generic Woody Mobile Holder ,57
"KXD K351 Dual Sim, 1.77 inches, 32 MB ROM+32 MB RAM, 1000mAh battery - Gold ",477
"IKU IKU S3 Dual SIM, 1.8 Inches Display,600 mAh Battery – Brown ",569
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devices ,99.95
Generic Grip And Stand For Mobile Phones Black ,839.30
"Generic Foldable Stand Holder For Mobile Phones, Tablets Suitable for All Devices - Blue ",45
IKU S1 Mini Dual Sim Blue 1.8 Inch 32 Mb Ram 32 Rom 2G Gsm ,410
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devices ,59
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devices ,59
"JSAUX JSAUX Cup Holder Phone Mount for Car/Truck, Metal Long-Arm Ultra Stable Durable Phone Holder Car Cupholder Adjustable Cup Cell Phone Holder for Car Compatible with iPhone, Samsung Galaxy, Google Pixel ",666
Generic Controllers For Mobile Phones ,65
Generic Exquisitely designed foldable plastic desktop mobile phone holder with a variety of positions ,80
"IKU IKU S3 Dual SIM, 1.8 Inches Display, 600 mAh Battery – Gray ",569
JOYROOM L-Qp303 30W Mini Intelligent Dualport Fast Charger Black ,550
REMAX Remax Bracket-Alien Mobile Phone Bracket Rm-C58 Pink ,469.50
"Generic Mini Foldable Adjustable, Small and Lightweight Chair Mobile Phone Holder Stand ",39
Generic Table Mobile Holder with Hight Adjustable Feature Phone Mount for Desktop ,547.75
"Generic Holder for mobile phone, grey ",108.80
Generic Mobile holder inside the car ,109.40
Awei High quality small metal universal magnetic mobile phone holder ,292.50
"Ugreen Magnetic Phone Holder Car Mobile Stand  for iPhone Car Dashboard  Mount  for 14 Pro/14 Pro Max/13/13 mini/12/11 Pro, iPhone Xs XR X SE 8 7 Plus 6S Samsung Galaxy S23 ultra S22 S21 S20 Plus Note 10 9 black ",380
Generic Universal Luminous Fluorescence Waterproof Phone Bag Black ,63
Generic Folding Stents Multi-Angle Adjustable For Mobile Phones - Purple ,45
REMAX Remax Stand-Alien Mobile Phone Stand Rm-C58-Green ,213
Infinix MOBILE  SMART  8  -4+4GB RAM 64GB ROM WHITE ,"4,299"
Generic Folding Stents Multi-Angle Adjustable For Mobile Phones - Yellow ,45
"Generic DeskTop Phone Holder , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones / Green ",135
OPPO Oppo A60 Dual SIM Purple 8 GB RAM 256 GB 4G LTE International Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"8,800"
NOKIA Nokia 6310 black 4G ,999
Yesido Yesido C151 High Quality All-Aluminum Alloy Universal Dashboard Magnetic Mobile Car Phone Holders ,252.95
Samsung Galaxy-A16 Dual SIM Gray 8GB RAM 256GB  4G - Middle East Version ,"9,990"
"Samsung Galaxy A15 Blue Black 256 GB 4G lte With Case Soft TPU Silicone Bumper Corner Full Camera Protection Cover Clear And HD Plus Super Glass Screen Protector Black And Samsung USB-C Wall Charger, 25 Watt ","9,075"
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones ",125
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 Pink ",180
unitronics Unitronics Uni X3 Mobile Phone - Black ,549
HUAWEI Nova 12i Dual SIM Green 8GB RAM 256GB 4G With Huawei Freelace Green ,"12,299"
Samsung Galaxy Z Fold 5 Starter Package Slim Case With Pen And Travel Adapter Clear/Black ,"3,555"
OPPO OPPO A3 Dual SIM Sparkle Black 8 GB RAM 256 GB 4G GSM/LTE/UMTS International Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"8,590"
Honor 200 Pro Dual SIM Black 12GB 512GB 5G With Honor Choice Earbuds X5 ,"31,333"
HUAWEI Nova 12i Dual SIM Black 8GB RAM 256GB 4G With Huawei Freelace Green ,"12,299"
Honor 200 Dual SIM Moonlight White 12GB 512GB 5G With Honor Choice Earbuds X5 ,"22,499"
realme Note 50 Dual SIM Midnight Black 3 GB RAM 128 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"5,350"
realme realme Note 50 Dual SIM Midnight Black 3 GB RAM 265 GB 4G GSM/LTE/UMTS International Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"5,850"
"Xiaomi Redmi K70 Pro Smartphone - Blue, 16GB RAM + 256GB Storage, 6.67"" 2K Display,   16MP Front Camera, NFC, Infrared Remote Control, Optical Under-Screen Fingerprint, 5G Dual SIM (Chinese Version) ","28,700"
M-Horse Mobile phone Mhorse Spark 10 Pro 3GB RAM 64GB ROM Gray MZ Gray ,"3,199"
OPPO OPPO A3 Dual SIM Sparkle Black 6 GB RAM 128 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"7,500"
vivo Y19s 4G Dual SIM Glossy Black 6GB RAM 128GB - Middle East Version ,"7,235"
OPPO OPPO A3x Dual SIM Ocean Blue 4 GB RAM 128 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"6,290"
Nothing Phone 2 Dual SIM White 12GB RAM 256GB 5G - International Version ,"32,999"
Samsung Galaxy-A16 Dual SIM Gray 4GB RAM 128GB  4G - Middle East Version ,"7,558"
Honor 200 Dual SIM Black 12GB 512GB 5G  With Honor Choice Earbuds X5 ,"22,499"
realme realeme C67 Dual SIM Sunny Oasis 8 GB RAM 256 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"8,400"
vivo Y19s 4G Dual SIM Silver 6GB RAM 128GB - Middle East Version ,"7,235"
Nothing Phone 2A 5G Dual SIM Milk 12GB RAM 256GB - Middle East Version ,"22,999"
Generic Cell Phone Holder compatible for Multi Purpse White ,230.75
vivo Y18 4G Dual SIM  Mocha Brown 4GB RAM 128GB - Middle East Version ,"5,820"
"Generic oldable Mini Cell Phone Stand, Adjustable Mobile Phone Holder for Desk Multi Angle Tablet Stand (pink) ",250
"Generic Metal Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 ",125
OPPO OPPO A3x Dual SIM Nebula Red 4 GB RAM 128 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"6,290"
realme Realme C63 Dual SIM Leather Blue 6 GB RAM 128 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"6,700"
"Earldom Earldom Foldable Mini Cell Phone Stand, Adjustable Mobile Phone Holder for Desk Multi Angle Tablet Stand (Black) ",250
realme Realme C63 Dual SIM Leather Blue 6 GB RAM 256 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"7,650"
"realme C53,NFC 256GB, 8GB RAM, 4G LTE, Dual SIM - Mighty Black ","7,299"
cmf by NOTHING Phone 1 Dual Sim Light Green 8GB RAM 128GB 5G - Middle East Version ,"15,999"
realme Note 50 Dual SIM Sky Blue 3 GB RAM 128 GB 4G GSM/LTE/UMTS Middle East Version With Adjustable Desktop Stand for Phones/Tablets Black+ Bluetooth Headset Sports Black ,"5,350"
"Generic Metal Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 ",125
cmf by NOTHING Phone 1 Dual Sim Black 8GB RAM 256GB 5G - Middle East Version ,"14,500"
Generic Wireless Charger Mobile Holder For Car Compatible All Mobile Phones Charge Wireless White ,422
cmf by NOTHING Phone 1 Dual Sim Black 8GB RAM 128GB 5G - Middle East Version ,"15,999"
"Generic Bear shape Metal Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 ",125
"Generic Metal Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 ",125
cmf by NOTHING Phone 1 Dual Sim Light Green 8GB RAM 256GB 5G - Middle East Version ,"14,500"
"Generic Lazy Hang Neck Phone Support Holder, Multi-Function Creative Mobile Phone Holder Desktop Bed Car Lazy Bracket Mobile Stand Pink ",95
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for Poco M4 Pro (Green) ,111
"Generic oldable Mini Cell Phone Stand, Adjustable Mobile Phone Holder for Desk Multi Angle Tablet Stand (pink) ",250
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devices ,59
"Samsung Galaxy A15 Dual SIM, 4GB RAM, 128GB, 4G - Light Blue With Free Gift Samsung 25W USB-C Super Fast Charging Travel Adapter - Black ","6,777"
realme 9i Dual SIM 6GB RAM 128GB ROM 4G LTE Prism Blue - International Version ,"7,999"
Generic Wireless tooth Music Hands-free Calling FM Transmitter USB SD Car Charger Black ,360
NOKIA Nokia 6310 black 4G ,999
vivo Y03 4G Dual SIM Space Black 4GB RAM 128GB 5000Mah - Middle East Version ,"5,350"
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones ",149
Generic Mobile Game Controller - Model AK-66 - Suitable for Most Mobile Phones - Black ,150
ITEL A70 Dual SIM Brilliant Gold (3+5)GB RAM 64GB 4G - Middle East Version ,"3,249"
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 Black ",155
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 Green ",125
Honor X6b Dual SIM Forest Green 6GB RAM 128GB 4G - Middle East Version ,"5,450"
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones K72 White ",250
ITEL A70 Dual SIM Field Green (3+5)GB RAM 64GB 4G - Middle East Version ,"3,249"
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devices ,71.25
Xiaomi Redmi Note 10 5G Dual SIM Aurora Green 4GB RAM 128GB - Global Version ,"7,499"
Honor X5b Plus Dual SIM Midnight Black 4GB RAM 128GB 4G - Middle East Version ,"4,799"
Ugreen Gravity Phone Holder With Suction Cup - Black ,579
Generic Waterproof Mobile Phone Pouch Clear/Black ,70
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for  Reno 3 (Black) ,111
Xiaomi Redmi Note 12 Dual SIM Ice Blue 8GB RAM 128GB 4G - Global Version ,"8,599"
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for Reno 8 Pro 5G (Beige) ,85.40
"IKU S3 mini Dual SIM Mobile Phone, 1.8 inch 32MB/32MB – Black ",410
ITEL A70 Dual SIM Azure Blue (3+5)GB RAM 64GB 4G - Middle East Version ,"3,199"
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones - Yellow ",145
"IKU S3 mini Dual SIM Mobile Phone, 1.8 inch 32MB/32MB  – Blue ",410
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for Reno 7 Pro (Black) ,120.30
IKU IKU F102 Dual SIM Mobile Phone  – Grey ,449
IKU IKU F102 Dual SIM Mobile Phone  – Blue ,432
"Generic Magnetic Car Phone Holder, 360 Degree Rotatable Magnetic Phone Holder, Alloy Foldable Magnetic Car Mobile Holder for All Mobile Phones, MagSafe Universal Phone Holder for Dashboard ",335
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for Reno 8 Pro Plus (Blue) ,145.80
IKU IKU F102 Dual SIM Mobile Phone  – Green ,449
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for  Reno 3 (Green) ,145.80
"Generic Phone Holder for Desk 360°Rotating , Portable & Foldable Cell Phone Stand for Office & Kitchen, Adjustable Tablet Stand for All Mobile Phones ",125
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for Reno 8 Pro 5G (Black) ,145.80
"DUX DUCIS DUX DUCIS Aimo Cover for the Samsung Z Fold 4 mobile phone slim, transparent matte cover made of TPU, polycarbonate, polypropylene, silicone - black ",495
Celebrat Celebrat CB-33 Portable USB To Micro Fast Charge And Data Transmission Cable With Flat wire Design And Practical Fits Mobile Phone 3A /480mbps /1M - White ,49.40
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for Reno 7 Pro (Beige) ,145.80
