laptop_name,price,urls
FAST CHEAP TOP BRAND INTEL CORE i5 8TH GEN 16GB RAM 480GB SSD WINDOWS 11 LAPTOP,$204.00,https://www.ebay.com/itm/256280150930?_skw=laptops&itmmeta=01JEYE879Q7990RDS3BZ0W5YCC&hash=item3bab7cc392:g:nYIAAOSwKmNmufRh&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkQehoOeT9%2BcdRS4pTAOHf4f7dY48BWaL4B3KFe1VyjJX69mUkHRgusE1HSZ1BgG10xU8ncAZ9EnVB6TJKymJ1ZKf1fTVHnygTjdHJnIEwcEOg7JnX7lvoxucZdx8%2F0Bv8uix6VBSv0Jg%2BrWVBvwRaQdqymEEbbeg7X%2BtAoHc7uxFJNMc6GN8FIdeDpjfeorK2rA8zHOLlcvLQ6gJ7Bq%2BuspFSz8LW4wF1fxg4jiiHMjvWcAdbMAH%2BPi3XrUFDwtRGIUcA0MT%2BUIvmOK5WL4Ukf%7Ctkp%3ABFBMlPWgzvdk
Lenovo ThinkPad Laptop Light Gaming PC Core i5 16GB RAM 512GB SSD Windows 11 Pro,$266.50,https://www.ebay.com/itm/264714553889?_skw=laptops&itmmeta=01JEYE879QME2CXXB8TVMNP0XC&hash=item3da2378a21:g:-boAAOSwz9hnUkJs&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKl%2FQy5UwoYKS9IkCV2Xoapp5JA5ScQLbYcemOVxQIdh%2BVFSC26RTTqUQ0%2B9Ulhp2rbXLJ6wtYNABoL--U89uTgIooU%2FsnggheCXlMA4rlDHeeoyXWa6DsbpE7UfkhDxx3OEsDkd%2FcRyEARMT7mffQfK2MGOsBmWbTm1W5sDAIuX2U8BLlPQuojPCd4UsHHuww1VJcXON2KTwc24ydboeAsKKCCBXl6jxaHOOjgy96PD5tIFwVV87NXl6FRYQkI%2BT4F21Dneb9ROPgvVKv96EdJ8%7Ctkp%3ABFBMlvWgzvdk
Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI,$446.27,https://www.ebay.com/itm/115777670869?_skw=laptops&itmmeta=01JEYE879QV21Q7D5TKZGM00ZH&hash=item1af4e30ed5:g:onIAAOSw17hk3WLf&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnJft49mxHlto4RiGdJ8su4LUYHQKLhmoLfNRVGrg2G3MUHMZFDOp1HqACD3EG4ruVxoEKEWzFyWeWfM3DWywjYWw3I1fhnxzfqZaubwF%2BOsWw2tjVhQ45Zala9FH8za62rpn%2Byyjw57%2BkoVF3d0BHq19aWOLFkd%2FXXO3N5dSmsKRiDOdCeL%2FxuFauxnO0NtZVVAJ52X1TMD8ea%2BIB04HUMt8NqIH%2BShL9dqgMpjByPU5zydt0rDOAbAWycvJX8fv4dm14dvEZDv6QGrpt3QbJj%7Ctkp%3ABFBMlvWgzvdk
HP Pro X2 612 G2 Tablet PENTIUM GOLD 4GB RAM 128GB SSD Windows 11 Pro Grade A+,$114.76,https://www.ebay.com/itm/175991786328?_skw=laptops&epid=10065727797&itmmeta=01JEYE879QA4YTDWC0VHZRCHZG&hash=item28f9ed8b58:g:rN8AAOSwSqVmD7eh&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk%2BpC1hb86oGhetp%2B00ayk%2BSSzQq5KyFr4uw%2BAhF7wMOL1T4CocJPEUgfmjcJCYvykEBI2DNAbTlKT3X3J8DOv3FjhxzgALdlRCgaSGfXjFvkgLORj2MMfSOaJn2xA4pwwt42rbeZslyrQu4QjsFKIPI7gF8khhs%2FM0hzu3UZMZW8E8AhOoXQCDrjj2c--z5NY1kTVE%2FNEcIKAuoh54I7FrS2KfNoSd5rWgzQTpgGs2uGRPEB0QExf%2BeJ5%2FtqQGc9XpJqH%2FO7VBPtH%2Fu9F28uAh%7Ctkp%3ABFBMlvWgzvdk
Microsoft Surface LAPTOP 2 Intel Quad core i5 8th gen. 8GB ram 128GB NvMe V.GOOD,$202.74,https://www.ebay.com/itm/205156260627?_skw=laptops&itmmeta=01JEYE879QKYWWJ5MN9VJEPA7K&hash=item2fc4441b13:g:4~kAAOSwrQNmsgaU&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm%2FOydpWN7YwoN%2FK7o7xFWMYql78nMOsllO05LCbOGVmy8mxmBAinVB7kYiSmS2xGkgf3lJJK7PuFC%2FknUhBrjFTcwt1TfR8HLfF%2F8%2Bd7cCp3wUyptS3HyzgDG%2B40XPDl5D43cHJcgD5HiatER%2FIK3ac%2FvJIlLitMhdmNe0VaQRklbHxlpJ6ODIktkXnTbpJv5zLYE9zwvayvUdhI9f5QRYFcHufR%2Fr5gRB8XY09Lb0%2F3Ifo%2FUHsiFXUciiAqQZi1FUKiLQU44oEIITv6B4uroD%7Ctkp%3ABFBMlvWgzvdk
"Dell Latitude 5410 14"" Laptop Core i5 4-Core 16GB RAM 256GB SSD Windows 11 Pro",$239.75,https://www.ebay.com/itm/266979553064?_skw=laptops&itmmeta=01JEYE879QD3NA495JXYZSVT1T&hash=item3e2938af28:g:oF4AAOSwUOtnOADZ&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKl9nYDYL4r2H1YJVotvdLkBBq5S4ShJiAKVNTLbhixVryLie2poFTF8UsUDHcUEvt8rVk%2FMtjlUA9TkJAWywR5oPD%2B2OSMAOKHr3gMhCrGS%2F5XQCnuRVXYZTLgyO6oZaJDoL6W3x2HthoIKY0RY7gjGgjyiOVi7r2VgfsgBrkBG99DRV9gr98mlAybEfnAK43EoOVRQCNC2y8oOY3lwxJPfnIWycTvKzwOGIwByb21WddPMOFBl1R2dHJaJpkirEh71%2B0I%2FOagSSXyOWT0HBTEK%7Ctkp%3ABFBMlvWgzvdk
"Dell Latitude Business Laptop Intel i5 16GB RAM 1TB SSD, 15.6"" HD windows 11",$390.00,https://www.ebay.com/itm/395183450544?_skw=laptops&itmmeta=01JEYE879Q5R4VDBNWBKBQWZVK&hash=item5c02c4e9b0:g:c0cAAOSwJM9m5Nu4&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnCh%2BcoKQ38tRN23Ybf1iVs%2B5nc%2FQoGY4Z0bTRf%2FzT8SqTzR5pajVfryKnHkDxE8kyMIt4b3Cial6Th5%2FKldsJ9aTmJpyOE%2BBzOmwZpP4j2Rgo8BhYCJc5lY%2FGDXuzd7rq3c1zdL5Te3Edhhg8Kep837aHEl%2FHyAvfcPWbzS4%2Fho30Ta26RwUFDSeVnBkk84Loo2mJTLVim7tdyu2Sd%2BCxnlPcGl5kTPzCcyVO5XrZpsGlIi0g5Qx57Qv%2FApj%2FPcKfBI2WjxhBARQhsP17yif67%7Ctkp%3ABFBMlvWgzvdk
High Performance Toughbook CF-31 i5 16GB / Military Fully Rugged SSD Touchscreen,"$1,180.00",https://www.ebay.com/itm/232243852599?_skw=laptops&itmmeta=01JEYE879Q9S5VEEMNR04M9TV2&hash=item3612cff537:g:xZcAAOSwB-1Yp2mp&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmfHGrjF7DAtNgqRkvQgPdxvMgn89RV7sNwJPi%2B%2BzsO2qT6w9LQ29cdcxz%2Bp%2BCAtygoKFDQusdau2S0CiA9k9N%2FbXYhSaHw%2BXJVdavxkvkFwQ1%2FNIs2K1JZ97FxTYONcadZGGKIjX2PVf0TIvEvDMieqNeHLOD8ToxBU53L6DcVBHoyrHyA8UUWUJ099iFl3BWU%2FYyrIkLtqk8E%2FG2m72nid5PzOhWPg6CalHc54Op4DfE5FM5A6xZQK9r%2FBVdWl6cGZFd0uTmRhF185ZKtb7s8%7Ctkp%3ABFBMlvWgzvdk
Microsoft Surface Laptop 4 Intel Core i5-1145G7 16GB RAM 512GB SSD Win 11 Pro,$446.27,https://www.ebay.com/itm/176581455074?_skw=laptops&itmmeta=01JEYE879QRE4MM4ZH6QJKQS6K&hash=item291d132ce2:g:3ssAAOSwi35nWwLc&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlRBdUmTIxXZ2XZ6zspDvw4jFVVuqgs8zR8Nany%2FcR0yj78Cdf8jSd22neb490I11AgbBj04QQmilvlAo0kZS8JmH0Ls8DyTXNd%2FERJayZI2HdlR6w%2Fi8roxL2Pi%2B4X1H4QzEaHTJgIY%2F%2BhOTUQWb3NyWF2jQBo2cliczEdDLNdxx9f8xXjhp9EY4DEm1MPt%2FphEqaIMHOQgwEBKlLhAeOtVt6mdFy8HDYVmnyGIsoY4Zdvz%2FpR0%2Ftodj%2BHjSQEagjzNT6PKDeO8EGAgUW69uM9%7Ctkp%3ABFBMlvWgzvdk
ASUS Vivobook 16 WUXGA Notebook Intel Core i7-1355U 16GB RAM 1TB SSD Indie Blac,$549.99,https://www.ebay.com/itm/296584849936?_skw=laptops&itmmeta=01JEYE879QY32TR71JZE6V5BE7&hash=item450dd5aa10:g:VwYAAOSwlOlnRmCA&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKn1h7Bms1jvGagxnFkousOUaeQEEqQKzF1uVYvjd%2FlmxTVH0EhLt8iQtnYtcfpjpbZAkNOfJvCPecOLRqSBhpcEI2Ryqz%2FUtRJcsRD8695yv8Cnr%2BuxhuNxV%2BGiwGfN%2FCZ7Y%2FPl6zTnSGfTMNKgAiWBtu7dh5kbkMKoW5Mce7l8z5osl9mw3Exd4Nt%2BhCJEnzcZNW4aT6od1jvHk7jhqFpd%2BKBIExGkDnAn%2BgvSo7TKWZHF%2Fn28f0GkAKU6NI7tGR5a1Cp0t5a2Em1Zqt0TMSpZ%7Ctkp%3ABFBMlvWgzvdk
